city,material,unit,unit_price_pkr,last_updated,source
Karachi,Cement (OPC 50kg bag),bag,1391,2026-01-31,"Govt urban inter-city CPI data, via The News (thenews.com.pk), published 2026-02-03"
Karachi,Steel Rebar (Grade 60),kg,211.33,2026-01-31,"Govt urban inter-city CPI data, via The News, published 2026-02-03 (converted from PKR 211331/ton)"
Karachi,Bricks (Grade A),1000_units,18000,2026-01-31,"Govt urban inter-city CPI data, via The News, published 2026-02-03"
Karachi,Sand,cft,68,2026-01-31,"Derived from govt CPI truck price (Rs 6811/truck), assuming ~100 cft/truck - verify local convention"
Karachi,Crush/Bajri,cft,79,2026-01-31,"Derived from govt CPI truck price (Rs 7854/truck), assuming ~100 cft/truck - verify local convention"
Lahore,Cement (OPC 50kg bag),bag,1467,2026-01-31,"Govt urban inter-city CPI data, via The News, published 2026-02-03"
Lahore,Steel Rebar (Grade 60),kg,212.33,2026-01-31,"Govt urban inter-city CPI data, via The News, published 2026-02-03 (converted from PKR 212333/ton)"
Lahore,Bricks (Grade A),1000_units,17463,2026-01-31,"Govt urban inter-city CPI data, via The News, published 2026-02-03"
Lahore,Sand,cft,76,2026-01-31,"Derived from govt CPI truck price (Rs 7573/truck), assuming ~100 cft/truck - verify local convention"
Lahore,Crush/Bajri,cft,175,2026-01-31,"Derived from govt CPI truck price (Rs 17463/truck), assuming ~100 cft/truck - verify local convention"
Islamabad,Cement (OPC 50kg bag),bag,1377,2026-01-31,"Govt urban inter-city CPI data, via The News, published 2026-02-03"
Islamabad,Steel Rebar (Grade 60),kg,222.58,2026-01-31,"Govt urban inter-city CPI data, via The News, published 2026-02-03 (converted from PKR 222583/ton)"
Islamabad,Bricks (Grade A),1000_units,24732,2026-01-31,"Govt urban inter-city CPI data, via The News, published 2026-02-03"
Islamabad,Sand,cft,118,2026-01-31,"Derived from govt CPI truck price (Rs 11773/truck), assuming ~100 cft/truck - verify local convention"
Islamabad,Crush/Bajri,cft,145,2026-01-31,"Derived from govt CPI truck price (Rs 14486/truck), assuming ~100 cft/truck - verify local convention"
Peshawar,Cement (OPC 50kg bag),bag,1353,2026-01-31,"Govt urban inter-city CPI data, via The News, published 2026-02-03"
Peshawar,Steel Rebar (Grade 60),kg,208.16,2026-01-31,"Govt urban inter-city CPI data, via The News, published 2026-02-03 (converted from PKR 208162/ton)"
Peshawar,Bricks (Grade A),1000_units,18331,2026-01-31,"Govt urban inter-city CPI data, via The News, published 2026-02-03"
Peshawar,Sand,cft,62,2026-01-31,"Derived from govt CPI truck price (Rs 6208/truck), assuming ~100 cft/truck - verify local convention"
Peshawar,Crush/Bajri,cft,75,2026-01-31,"Derived from govt CPI truck price (Rs 7533/truck), assuming ~100 cft/truck - verify local convention"
Quetta,Cement (OPC 50kg bag),bag,1490,2026-01-31,"Govt urban inter-city CPI data, via The News, published 2026-02-03"
Quetta,Steel Rebar (Grade 60),kg,227.99,2026-01-31,"Govt urban inter-city CPI data, via The News, published 2026-02-03 (converted from PKR 227994/ton)"
Quetta,Bricks (Grade A),1000_units,14742,2026-01-31,"Govt urban inter-city CPI data, via The News, published 2026-02-03"
Quetta,Sand,cft,62,2026-01-31,"Derived from govt CPI truck price (Rs 6199/truck), assuming ~100 cft/truck - verify local convention"
Quetta,Crush/Bajri,cft,66,2026-01-31,"Derived from govt CPI truck price (Rs 6649/truck), assuming ~100 cft/truck - verify local convention"
_NationalFallback,Cement (OPC 50kg bag),bag,1550,2026-08-15,"National retail average, arynews.tv market report - use for cities without a city-specific row"
_NationalFallback,Steel Rebar (Grade 60),kg,230.00,2026-02-14,"National average, icons.com.pk steel rate tracker - use for cities without a city-specific row (converted from PKR 230000/ton)"
_NationalFallback,Bricks (Grade A),1000_units,15000,2026-02-03,"Rough national midpoint estimate from govt CPI city spread - NEEDS local validation"
_NationalFallback,Sand,cft,70,2026-02-03,"Rough national midpoint estimate from govt CPI city spread - NEEDS local validation"
_NationalFallback,Crush/Bajri,cft,90,2026-02-03,"Rough national midpoint estimate from govt CPI city spread - NEEDS local validation"
